GEOID,Census_Tract,NAME,LOWEST_QUINTILE,SECOND_QUINTILE,THIRD_QUINTILE,FOURTH_QUINTILE,HIGHEST_QUINTILE,TOP5_QUINTILE
1400000US53033032307,53033032307,"Census Tract 323.07, King County, Washington",37640,98598,146807,207553,445382,801468
1400000US53033032309,53033032309,"Census Tract 323.09, King County, Washington",23204,81551,122973,161354,256596,355279
1400000US53033032311,53033032311,"Census Tract 323.11, King County, Washington",52534,98507,144032,225075,526441,933881
1400000US53033032313,53033032313,"Census Tract 323.13, King County, Washington",33016,86294,123556,170690,289569,468726
1400000US53033032315,53033032315,"Census Tract 323.15, King County, Washington",41023,104787,163221,241203,459109,741136
1400000US53033032316,53033032316,"Census Tract 323.16, King County, Washington",50730,117416,177912,262515,446263,591750
1400000US53033032317,53033032317,"Census Tract 323.17, King County, Washington",53444,133899,186548,247676,438580,750592
1400000US53033032318,53033032318,"Census Tract 323.18, King County, Washington",67707,143260,197854,274795,422204,578139
1400000US53033032319,53033032319,"Census Tract 323.19, King County, Washington",18228,54837,79269,118298,208310,300528
1400000US53033032320,53033032320,"Census Tract 323.20, King County, Washington",45863,97394,163032,238395,523836,860324
1400000US53033032321,53033032321,"Census Tract 323.21, King County, Washington",60451,151511,214734,308662,548872,790759
1400000US53033032322,53033032322,"Census Tract 323.22, King County, Washington",72877,138691,191336,238179,431043,652875
1400000US53033032323,53033032323,"Census Tract 323.23, King County, Washington",41388,108351,159277,218905,470322,934506
1400000US53033032324,53033032324,"Census Tract 323.24, King County, Washington",30766,73241,126953,183389,330846,449122
1400000US53033032325,53033032325,"Census Tract 323.25, King County, Washington",34381,75059,116508,165153,308258,430158
1400000US53033032326,53033032326,"Census Tract 323.26, King County, Washington",32333,100684,197463,283502,586150,974331
1400000US53033032327,53033032327,"Census Tract 323.27, King County, Washington",30514,69672,108978,167208,438150,816329
1400000US53033032328,53033032328,"Census Tract 323.28, King County, Washington",46625,121545,192450,273000,501055,854226
1400000US53033032329,53033032329,"Census Tract 323.29, King County, Washington",37380,102081,159415,252313,514394,845053
1400000US53033032401,53033032401,"Census Tract 324.01, King County, Washington",37256,87041,130953,192559,361434,471264
1400000US53033032402,53033032402,"Census Tract 324.02, King County, Washington",51745,98844,141666,193725,287153,386322
1400000US53033032500,53033032500,"Census Tract 325, King County, Washington",32997,73839,124682,180698,344839,595244
1400000US53033032601,53033032601,"Census Tract 326.01, King County, Washington",31445,66427,106857,158152,278818,399644
1400000US53033032602,53033032602,"Census Tract 326.02, King County, Washington",62065,109926,151924,202510,357011,528128
1400000US53033032702,53033032702,"Census Tract 327.02, King County, Washington",38751,84341,112424,155133,351150,687558
1400000US53033032703,53033032703,"Census Tract 327.03, King County, Washington",32764,70199,109445,154378,253638,366408
1400000US53033032704,53033032704,"Census Tract 327.04, King County, Washington",17271,62680,111298,161997,290074,497918
1400000US53033032800,53033032800,"Census Tract 328, King County, Washington",28582,62570,100603,171038,325473,473804
1400000US53033990100,53033990100,"Census Tract 9901, King County, Washington",-,-,-,-,-,-
1400000US53035080101,53035080101,"Census Tract 801.01, Kitsap County, Washington",16570,43588,64785,90796,172571,278055
1400000US53035080102,53035080102,"Census Tract 801.02, Kitsap County, Washington",14427,33945,55502,79938,169643,335296
1400000US53035080200,53035080200,"Census Tract 802, Kitsap County, Washington",9892,21183,44911,69419,120907,168108
1400000US53035080300,53035080300,"Census Tract 803, Kitsap County, Washington",11354,31814,48575,71183,169531,305122
1400000US53035080400,53035080400,"Census Tract 804, Kitsap County, Washington",17907,41206,72267,117778,208084,304963
1400000US53035080500,53035080500,"Census Tract 805, Kitsap County, Washington",7039,28979,46338,67759,114214,176709
1400000US53035080600,53035080600,"Census Tract 806, Kitsap County, Washington",15574,33221,58774,97252,160938,230245
1400000US53035080700,53035080700,"Census Tract 807, Kitsap County, Washington",14542,36143,65641,92631,191940,300101
1400000US53035080800,53035080800,"Census Tract 808, Kitsap County, Washington",25352,47741,62399,74060,108461,147141
1400000US53035080900,53035080900,"Census Tract 809, Kitsap County, Washington",13209,42328,65119,89143,196790,342736
1400000US53035081000,53035081000,"Census Tract 810, Kitsap County, Washington",9747,25486,49600,76199,137953,231560
1400000US53035081100,53035081100,"Census Tract 811, Kitsap County, Washington",11587,31342,49923,84033,168718,255673
1400000US53035081200,53035081200,"Census Tract 812, Kitsap County, Washington",13729,31993,54511,82220,146177,256387
1400000US53035081400,53035081400,"Census Tract 814, Kitsap County, Washington",null,null,null,null,null,null
1400000US53035090101,53035090101,"Census Tract 901.01, Kitsap County, Washington",17198,44924,75462,105738,195698,329489
1400000US53035090102,53035090102,"Census Tract 901.02, Kitsap County, Washington",18532,51856,84101,117649,253739,443317
1400000US53035090201,53035090201,"Census Tract 902.01, Kitsap County, Washington",34759,74705,100034,129731,233922,332847
1400000US53035090202,53035090202,"Census Tract 902.02, Kitsap County, Washington",31611,69239,99166,139292,255721,397746
1400000US53035090300,53035090300,"Census Tract 903, Kitsap County, Washington",16309,46858,58699,77835,100175,121393
1400000US53035090400,53035090400,"Census Tract 904, Kitsap County, Washington",29134,62532,93541,125778,226359,356483
1400000US53035090501,53035090501,"Census Tract 905.01, Kitsap County, Washington",9724,28152,53202,77403,151671,211928
1400000US53035090502,53035090502,"Census Tract 905.02, Kitsap County, Washington",22727,54834,83294,120076,211294,288399
1400000US53035090700,53035090700,"Census Tract 907, Kitsap County, Washington",34314,86442,134099,193949,349190,528615
1400000US53035090800,53035090800,"Census Tract 908, Kitsap County, Washington",30953,74983,122371,180765,358961,563541
1400000US53035090900,53035090900,"Census Tract 909, Kitsap County, Washington",15746,47252,90967,141739,254960,383306
1400000US53035091000,53035091000,"Census Tract 910, Kitsap County, Washington",45527,93965,133597,189647,407408,680883
1400000US53035091100,53035091100,"Census Tract 911, Kitsap County, Washington",27044,57995,91041,130058,255946,433219
1400000US53035091201,53035091201,"Census Tract 912.01, Kitsap County, Washington",14521,36438,69230,112169,235972,421122
1400000US53035091203,53035091203,"Census Tract 912.03, Kitsap County, Washington",33095,56491,78464,109383,181984,258830
1400000US53035091204,53035091204,"Census Tract 912.04, Kitsap County, Washington",16796,42266,66216,97957,233403,467582
1400000US53035091301,53035091301,"Census Tract 913.01, Kitsap County, Washington",29421,61225,92690,122387,208630,322129
1400000US53035091302,53035091302,"Census Tract 913.02, Kitsap County, Washington",41422,86100,121862,151083,239534,312711
1400000US53035091400,53035091400,"Census Tract 914, Kitsap County, Washington",29986,58487,95660,123201,208058,302790
